epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.6964,1.70819,3.90468,1.60132,0.02832,0.2608,0.05767,0.02641,2.0541,4.0859,1.99235,0.00019998,0.00019998,0.00019998
2,146.63,1.61679,3.20145,1.49706,0.02751,0.37371,0.07347,0.03329,2.03556,3.96994,2.05097,0.000407,0.000407,0.000407
3,251.252,1.64016,2.8541,1.53396,0.02791,0.39125,0.08346,0.03003,2.09308,3.76649,1.97089,0.000609841,0.000609841,0.000609841
4,314.504,1.56185,2.65327,1.47449,0.52351,0.03677,0.07486,0.02378,2.13046,3.73992,2.00247,0.000808502,0.000808502,0.000808502
5,376.051,1.52301,2.3494,1.40565,0.43531,0.09484,0.03876,0.01542,2.29092,3.69553,2.29018,0.00100298,0.00100298,0.00100298
6,444.409,1.59618,2.43843,1.47894,0.42336,0.05601,0.02879,0.01127,2.29509,3.85423,2.36537,0.00105601,0.00105601,0.00105601
7,547.427,1.56005,2.30965,1.43613,0.07136,0.11201,0.04667,0.01882,2.29534,3.69638,2.33895,0.00104501,0.00104501,0.00104501
8,653.617,1.49107,2.24394,1.39057,0.07064,0.12483,0.04433,0.0136,2.34594,3.83748,2.36361,0.00103401,0.00103401,0.00103401
9,768.616,1.45025,2.09363,1.37671,0.1292,0.20614,0.08047,0.02997,2.46191,3.54775,2.47349,0.00102301,0.00102301,0.00102301
10,885.254,1.44686,2.01693,1.35976,0.50244,0.10695,0.06008,0.02099,2.44611,3.65089,2.46802,0.00101201,0.00101201,0.00101201
11,1013.25,1.44585,1.96918,1.36635,0.09059,0.222,0.06171,0.02365,2.414,3.71391,2.49275,0.00100101,0.00100101,0.00100101
12,1162.12,1.39091,1.7818,1.30119,0.40385,0.17578,0.06616,0.02573,2.31076,3.81535,2.37524,0.000990012,0.000990012,0.000990012
13,1261.42,1.3592,1.83737,1.30407,0.4983,0.07355,0.05824,0.01754,2.32957,3.69575,2.35448,0.000979013,0.000979013,0.000979013
14,1390.71,1.37633,1.79923,1.30442,0.11151,0.08165,0.07443,0.02624,2.23197,3.62159,2.28554,0.000968014,0.000968014,0.000968014
15,1511.81,1.36229,1.8307,1.3362,0.0986,0.16763,0.05261,0.0178,2.29727,3.74963,2.41071,0.000957015,0.000957015,0.000957015
16,1632.5,1.37203,1.75333,1.34045,0.11791,0.08903,0.06978,0.02729,2.27531,3.70663,2.42231,0.000946016,0.000946016,0.000946016
17,1816.06,1.29516,1.70692,1.27949,0.12505,0.12011,0.08515,0.03286,2.24288,3.7518,2.3278,0.000935018,0.000935018,0.000935018
18,1956.7,1.35655,1.74026,1.30764,0.48267,0.11581,0.08795,0.03697,2.22218,3.86778,2.26884,0.000924019,0.000924019,0.000924019
19,2077.72,1.28582,1.65311,1.24818,0.07074,0.16464,0.05685,0.02258,2.17879,3.81507,2.30586,0.00091302,0.00091302,0.00091302
20,2199.45,1.27786,1.64155,1.26599,0.15455,0.12032,0.11711,0.05061,2.16062,3.4103,2.28752,0.000902021,0.000902021,0.000902021
21,2322.34,1.2613,1.55807,1.24747,0.27984,0.09075,0.11566,0.04652,2.14274,3.51485,2.32327,0.000891022,0.000891022,0.000891022
22,2430.77,1.2158,1.55022,1.21874,0.45444,0.10729,0.095,0.03987,2.20026,3.48385,2.30477,0.000880023,0.000880023,0.000880023
23,2592,1.25834,1.53921,1.23594,0.52206,0.17578,0.12372,0.04784,2.30482,3.43351,2.29666,0.000869024,0.000869024,0.000869024
24,2719.42,1.22804,1.43489,1.22101,0.45616,0.1471,0.1034,0.03641,2.38448,3.41895,2.39601,0.000858025,0.000858025,0.000858025
25,2836.46,1.21739,1.43467,1.20438,0.21512,0.09919,0.08677,0.02749,2.19476,3.37332,2.24568,0.000847026,0.000847026,0.000847026
26,2951.81,1.19492,1.41372,1.20893,0.10571,0.1056,0.06878,0.02137,2.04983,3.54976,2.20794,0.000836027,0.000836027,0.000836027
27,3068.06,1.1891,1.46591,1.22163,0.17425,0.09447,0.08344,0.03108,2.13195,3.48418,2.19031,0.000825029,0.000825029,0.000825029
28,3191.81,1.18108,1.3745,1.16769,0.16736,0.12314,0.07866,0.03205,2.16654,3.55559,2.14975,0.00081403,0.00081403,0.00081403
29,3304.66,1.14753,1.31235,1.16022,0.1184,0.12314,0.06751,0.02829,2.22297,3.58207,2.18163,0.000803031,0.000803031,0.000803031
30,3410.05,1.1339,1.29296,1.14576,0.33325,0.05601,0.07805,0.03232,2.29521,3.67782,2.15536,0.000792032,0.000792032,0.000792032
31,3518,1.16772,1.37043,1.17172,0.13467,0.15092,0.06475,0.03043,2.35877,3.66496,2.23232,0.000781033,0.000781033,0.000781033
32,3602.18,1.16145,1.25493,1.14154,0.16808,0.18983,0.09113,0.0365,2.33221,3.55266,2.24227,0.000770034,0.000770034,0.000770034
33,3709.46,1.17245,1.29465,1.16901,0.16924,0.15351,0.10838,0.03491,2.24904,3.23569,2.32521,0.000759035,0.000759035,0.000759035
34,3811.17,1.11721,1.22053,1.13338,0.54257,0.09447,0.09889,0.03152,2.15345,3.2109,2.23698,0.000748036,0.000748036,0.000748036
35,3911,1.10794,1.25806,1.16719,0.09284,0.13765,0.10004,0.04229,2.04995,3.29233,2.18797,0.000737037,0.000737037,0.000737037
36,4020.39,1.09425,1.20737,1.129,0.14149,0.09447,0.08807,0.03855,2.20952,3.49976,2.32844,0.000726038,0.000726038,0.000726038
37,4131.3,1.04588,1.14493,1.10758,0.18638,0.10474,0.09664,0.03855,2.16221,3.45684,2.27142,0.00071504,0.00071504,0.00071504
38,4227.64,1.06124,1.14405,1.10238,0.16561,0.19411,0.0995,0.03916,2.27627,3.32545,2.2927,0.000704041,0.000704041,0.000704041
39,4335.83,1.04193,1.13674,1.0826,0.18597,0.14069,0.11375,0.03479,2.39669,3.33492,2.34132,0.000693042,0.000693042,0.000693042
40,4467.14,1.04738,1.15939,1.10234,0.1967,0.15992,0.11368,0.04147,2.38124,3.29454,2.32504,0.000682043,0.000682043,0.000682043
41,4564.24,1.05441,1.15443,1.09648,0.13008,0.12955,0.07843,0.02694,2.289,3.34772,2.29176,0.000671044,0.000671044,0.000671044
42,4662.92,1.0328,1.11801,1.089,0.15887,0.15351,0.09486,0.03016,2.23652,3.43937,2.27066,0.000660045,0.000660045,0.000660045
43,4762.61,1.02348,1.07215,1.08466,0.18531,0.09919,0.08755,0.02951,2.17424,3.52525,2.24577,0.000649046,0.000649046,0.000649046
44,4857.38,1.04588,1.10939,1.08957,0.14608,0.12314,0.09248,0.03046,2.16948,3.53298,2.27043,0.000638047,0.000638047,0.000638047
45,4967.21,1.00841,1.06387,1.06912,0.18181,0.15351,0.10046,0.03465,2.168,3.42153,2.26488,0.000627048,0.000627048,0.000627048
46,5063.35,0.97979,1.04595,1.04415,0.16058,0.15351,0.10191,0.04076,2.17805,3.42107,2.21288,0.000616049,0.000616049,0.000616049
47,5149.7,0.95511,1.04015,1.04761,0.17199,0.1552,0.10314,0.0429,2.2191,3.24169,2.17053,0.000605051,0.000605051,0.000605051
48,5262.45,0.98294,1.04596,1.07104,0.20742,0.14238,0.11256,0.04602,2.23999,3.32504,2.22356,0.000594052,0.000594052,0.000594052
49,5368.56,1.02941,1.08861,1.08196,0.20958,0.13596,0.09809,0.04161,2.16838,3.40589,2.21356,0.000583053,0.000583053,0.000583053
