epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,173.312,1.75309,3.57386,3.88297,1.60113,0.02701,0.37719,0.05375,0.02446,0.01948,0.33693,0.02998,0.01008,2.42829,4.13363,4.11963,2.16286,0.00019998,0.00019998,0.00019998
2,414.459,1.6287,2.87577,3.12081,1.45223,0.03553,0.30657,0.08256,0.04124,0.03381,0.26125,0.06239,0.03189,2.25735,3.83261,4.05334,2.25384,0.000407,0.000407,0.000407
3,616.507,1.67768,2.84936,2.7803,1.535,0.60104,0.0496,0.06681,0.03123,0.53496,0.04318,0.04831,0.02857,2.63614,4.21625,4.04866,2.54979,0.000609841,0.000609841,0.000609841
4,874.101,1.63527,2.60926,2.5818,1.48801,0.38701,0.16464,0.06803,0.02195,0.01861,0.21806,0.03212,0.01269,2.89713,4.62177,4.01781,2.62429,0.000808502,0.000808502,0.000808502
5,1136.74,1.60043,2.5992,2.3657,1.43936,0.45401,0.10088,0.08168,0.03514,0.45042,0.08806,0.05791,0.02397,2.75929,5.08804,3.6665,2.7361,0.00100298,0.00100298,0.00100298
6,1383.15,1.63329,2.60005,2.48091,1.47213,0.53838,0.09278,0.09131,0.03357,0.41805,0.09266,0.05039,0.01569,2.61949,5.38376,3.64874,2.64612,0.00105601,0.00105601,0.00105601
7,1646.34,1.60498,2.50037,2.28898,1.43782,0.08104,0.08806,0.06421,0.02215,0.06654,0.06969,0.03412,0.01272,2.46023,4.80244,3.76886,2.58077,0.00104501,0.00104501,0.00104501
8,1880.22,1.50386,2.53772,2.19328,1.37598,0.10528,0.11201,0.05137,0.0173,0.09819,0.09447,0.04536,0.01432,2.46804,4.88348,3.6838,2.45379,0.00103401,0.00103401,0.00103401
9,2120.42,1.44999,2.40035,2.1113,1.35551,0.19114,0.08941,0.05685,0.01467,0.17468,0.08941,0.03032,0.00848,2.35674,4.61738,3.81419,2.47722,0.00102301,0.00102301,0.00102301
10,2382.74,1.48291,2.36413,2.03141,1.36688,0.07253,0.15317,0.03738,0.01196,0.09746,0.05432,0.02753,0.00788,2.41869,4.8198,4.0506,2.50422,0.00101201,0.00101201,0.00101201
11,2620.02,1.4391,2.27197,1.9698,1.34022,0.04988,0.11977,0.03174,0.01242,0.05285,0.05432,0.02417,0.0077,2.41686,4.8307,3.90017,2.47782,0.00100101,0.00100101,0.00100101
12,2883.95,1.44132,2.16062,1.81248,1.29661,0.08179,0.083,0.04598,0.01796,0.05264,0.05904,0.04233,0.0106,2.48926,4.44533,3.78325,2.51674,0.000990012,0.000990012,0.000990012
13,3134.13,1.41462,2.19897,1.86222,1.29501,0.05871,0.07186,0.02745,0.00873,0.06442,0.07355,0.02499,0.00607,2.44613,3.91942,3.84734,2.41146,0.000979013,0.000979013,0.000979013
14,3348.39,1.39199,2.14838,1.79595,1.27663,0.08213,0.17881,0.0399,0.0123,0.07471,0.08468,0.02968,0.0098,2.36874,4.04093,3.69919,2.38159,0.000968014,0.000968014,0.000968014
15,3547.31,1.40573,2.13375,1.85986,1.32911,0.09345,0.14372,0.04858,0.01469,0.08228,0.11977,0.02947,0.00879,2.43161,4.05428,3.81688,2.36356,0.000957015,0.000957015,0.000957015
16,3806.91,1.3751,2.09008,1.76602,1.30918,0.08583,0.08806,0.04989,0.0146,0.06519,0.06562,0.03061,0.01194,2.41578,4.0884,3.65248,2.39834,0.000946016,0.000946016,0.000946016
17,4020.73,1.34623,2.08414,1.70286,1.27215,0.13751,0.08165,0.06091,0.02823,0.10356,0.07051,0.04611,0.02324,2.2853,3.90091,3.5712,2.38926,0.000935018,0.000935018,0.000935018
18,4226.82,1.36251,2.05628,1.72574,1.28086,0.13726,0.12224,0.0781,0.0321,0.14275,0.08806,0.05976,0.02776,2.3389,3.91321,3.66796,2.33055,0.000924019,0.000924019,0.000924019
19,4388.01,1.30699,1.92759,1.67217,1.24656,0.15323,0.1462,0.09303,0.03884,0.15066,0.13338,0.07513,0.03146,2.28284,3.92872,3.7261,2.24283,0.00091302,0.00091302,0.00091302
20,4554.85,1.30572,1.95164,1.64731,1.266,0.17687,0.12269,0.06651,0.03053,0.27906,0.05301,0.052,0.02453,2.25188,4.06242,3.70114,2.20765,0.000902021,0.000902021,0.000902021
21,10337.2,1.29033,1.94994,1.57403,1.24372,0.12318,0.10774,0.07263,0.02708,0.12635,0.09109,0.04877,0.01972,2.28589,4.14548,3.59663,2.27622,0.000891022,0.000891022,0.000891022
22,10578,1.23275,1.93275,1.53836,1.20435,0.12278,0.12314,0.08645,0.03317,0.12985,0.12146,0.07166,0.02897,2.29052,4.2788,3.48588,2.319,0.000880023,0.000880023,0.000880023
23,10812.9,1.2495,1.91445,1.51447,1.19805,0.13893,0.16065,0.09552,0.03701,0.10388,0.12528,0.05798,0.02578,2.31058,4.29764,3.29084,2.3487,0.000869024,0.000869024,0.000869024
24,11042.9,1.25246,1.86744,1.4532,1.20293,0.10628,0.13765,0.09391,0.0407,0.10232,0.14164,0.069,0.02581,2.3603,4.21117,3.18037,2.39156,0.000858025,0.000858025,0.000858025
25,11273.6,1.23373,1.78563,1.43324,1.19049,0.15686,0.14148,0.09865,0.03818,0.13254,0.12224,0.06355,0.02661,2.37226,4.20124,3.17098,2.4014,0.000847026,0.000847026,0.000847026
26,11494.7,1.17727,1.73815,1.42357,1.18122,0.16446,0.20524,0.10541,0.03927,0.12389,0.13169,0.05572,0.02139,2.30156,4.27302,3.21011,2.25476,0.000836027,0.000836027,0.000836027
27,11719.6,1.22662,1.84832,1.45406,1.20974,0.09404,0.14406,0.08082,0.02969,0.08818,0.1326,0.06003,0.01844,2.32963,3.92137,3.25729,2.2937,0.000825029,0.000825029,0.000825029
28,11945.4,1.21705,1.79691,1.37969,1.16318,0.19122,0.1056,0.08953,0.03528,0.19013,0.1056,0.06902,0.03275,2.35541,3.87386,3.22435,2.35659,0.00081403,0.00081403,0.00081403
29,12173,1.2153,1.77255,1.36544,1.17983,0.09828,0.10088,0.0871,0.03122,0.11843,0.08806,0.06884,0.02496,2.37917,4.17706,3.45474,2.38972,0.000803031,0.000803031,0.000803031
30,12401.7,1.14773,1.71149,1.32971,1.14521,0.13763,0.09447,0.09935,0.03415,0.17159,0.08806,0.08062,0.02601,2.42441,4.18857,3.43196,2.4119,0.000792032,0.000792032,0.000792032
31,12622.3,1.15355,1.7011,1.34177,1.15375,0.12912,0.10088,0.06787,0.02418,0.10789,0.08165,0.04417,0.01681,2.40463,4.23313,3.37089,2.35477,0.000781033,0.000781033,0.000781033
32,12814.2,1.15148,1.71168,1.27564,1.12448,0.14054,0.11842,0.07795,0.02582,0.09235,0.06606,0.04023,0.01861,2.26315,4.07952,3.3768,2.28272,0.000770034,0.000770034,0.000770034
33,13027.7,1.15546,1.79361,1.32202,1.14026,0.1607,0.09492,0.08087,0.03301,0.16568,0.1056,0.07509,0.03352,2.2672,3.99868,3.23498,2.2006,0.000759035,0.000759035,0.000759035
34,13192.2,1.13531,1.69485,1.22923,1.13421,0.16201,0.13185,0.09043,0.03556,0.23776,0.1056,0.08347,0.02851,2.2388,3.92294,3.33636,2.1822,0.000748036,0.000748036,0.000748036
35,13318.1,1.10849,1.65424,1.24368,1.14572,0.18995,0.11393,0.09596,0.02931,0.19447,0.12178,0.08365,0.02523,2.19203,3.86564,3.49424,2.16502,0.000737037,0.000737037,0.000737037
36,13410.8,1.08013,1.68007,1.18368,1.10345,0.16165,0.12364,0.09765,0.03188,0.17442,0.09447,0.07836,0.02813,2.21183,3.97932,3.43027,2.18304,0.000726038,0.000726038,0.000726038
